month,site,site_category,visitor_type,visitor_origin,visitors
2024-02,Post Office Museum,Museums,Groups,Tour Agencies,123
2024-02,Post Office Museum,Museums,Groups,VIP,27
2024-02,Post Office Museum,Museums,Individual,Arab,93
2024-02,Post Office Museum,Museums,Individual,Bahraini,1206
2024-02,Post Office Museum,Museums,Individual,Foreign,594
2024-02,Post Office Museum,Museums,Individual,GCC,925
2024-02,Qalat Al Bahrain Site Museum,Museums,Educational,Government School,163
2024-02,Qalat Al Bahrain Site Museum,Museums,Educational,Private School,296
2024-02,Qalat Al Bahrain Site Museum,Museums,Groups,Organized Group,33
2024-02,Qalat Al Bahrain Site Museum,Museums,Groups,Tour Agencies,24
2024-02,Qalat Al Bahrain Site Museum,Museums,Groups,VIP,3
2024-02,Qalat Al Bahrain Site Museum,Museums,Individual,Arab,12
2024-02,Qalat Al Bahrain Site Museum,Museums,Individual,Bahraini,153
2024-02,Qalat Al Bahrain Site Museum,Museums,Individual,Foreign,674
2024-02,Qalat Al Bahrain Site Museum,Museums,Individual,GCC,109
2024-02,Saar Settlement,Archaeological Sites,Educational,College or University,2
2024-02,Saar Settlement,Archaeological Sites,Groups,Tour Agencies,86
2024-02,Saar Settlement,Archaeological Sites,Individual,Bahraini,8
2024-02,Saar Settlement,Archaeological Sites,Individual,Foreign,98
2024-02,Saar Settlement,Archaeological Sites,Individual,GCC,6
2024-02,Tree of Life Visitors Centre,Uncategorised,Educational,College or University,4
2024-02,Tree of Life Visitors Centre,Uncategorised,Individual,Bahraini,24288
2024-02,Tree of Life Visitors Centre,Uncategorised,Individual,Foreign,44080
2024-03,Aali burial mounds,Archaeological Sites,Individual,Arab,3
2024-03,Aali burial mounds,Archaeological Sites,Individual,Bahraini,13
2024-03,Aali burial mounds,Archaeological Sites,Individual,GCC,4
2024-03,Al Alawi House,Pearling Path Sites,Educational,Kinder Garden,8
2024-03,Al Alawi House,Pearling Path Sites,Groups,VIP,1
2024-03,Al Alawi House,Pearling Path Sites,Individual,Arab,40
2024-03,Al Alawi House,Pearling Path Sites,Individual,Bahraini,46
2024-03,Al Alawi House,Pearling Path Sites,Individual,Foreign,166
2024-03,Al Ghus House,Pearling Path Sites,Individual,Bahraini,3
2024-03,Al Ghus House,Pearling Path Sites,Individual,Foreign,22
2024-03,Al Jalahma House,Pearling Path Sites,Educational,Kinder Garden,37
2024-03,Al Jalahma House,Pearling Path Sites,Groups,VIP,8
2024-03,Al Jalahma House,Pearling Path Sites,Individual,Arab,8
2024-03,Al Jalahma House,Pearling Path Sites,Individual,Bahraini,198
2024-03,Al Jalahma House,Pearling Path Sites,Individual,Foreign,521
2024-03,Al Jalahma House,Pearling Path Sites,Individual,GCC,89
2024-03,Al Jasra Handicrafts Centre,Handicraft Sites,Groups,Organized Group,27
2024-03,Al Jasra Handicrafts Centre,Handicraft Sites,Groups,Tour Agencies,325
2024-03,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Bahraini,13
2024-03,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Foreign,69
2024-03,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,GCC,4
2024-03,Al Jasra House,Uncategorised,Educational,Kinder Garden,46
2024-03,Al Jasra House,Uncategorised,Groups,Organized Group,24
2024-03,Al Jasra House,Uncategorised,Groups,Tour Agencies,16
2024-03,Al Jasra House,Uncategorised,Individual,Arab,9
2024-03,Al Jasra House,Uncategorised,Individual,Bahraini,76
2024-03,Al Jasra House,Uncategorised,Individual,Foreign,129
2024-03,Al Jasra House,Uncategorised,Individual,GCC,3
2024-03,Al Khalefeyah Library,Uncategorised,Educational,Government School,28
2024-03,Al Khalefeyah Library,Uncategorised,Individual,Arab,94
2024-03,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,52
2024-03,Al Khalefeyah Library,Uncategorised,Individual,Foreign,185
2024-03,Al Khalefeyah Library,Uncategorised,Individual,GCC,5
2024-03,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Arab,2
2024-03,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,22
2024-03,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Foreign,48
2024-03,Arad Fort,Archaeological Sites,Individual,Arab,25
2024-03,Arad Fort,Archaeological Sites,Individual,Bahraini,58
2024-03,Arad Fort,Archaeological Sites,Individual,Foreign,462
2024-03,Arad Fort,Archaeological Sites,Individual,GCC,23
2024-03,Arad Fort,Forts,Individual,Arab,25
2024-03,Arad Fort,Forts,Individual,Bahraini,58
2024-03,Arad Fort,Forts,Individual,Foreign,462
2024-03,Arad Fort,Forts,Individual,GCC,23
2024-03,Archaeologies of Green Pavilion,Uncategorised,Groups,Organized Group,47
2024-03,Archaeologies of Green Pavilion,Uncategorised,Groups,Tour Agencies,54
2024-03,Archaeologies of Green Pavilion,Uncategorised,Individual,Arab,64
2024-03,Archaeologies of Green Pavilion,Uncategorised,Individual,Bahraini,245
2024-03,Archaeologies of Green Pavilion,Uncategorised,Individual,Foreign,149
2024-03,Archaeologies of Green Pavilion,Uncategorised,Individual,GCC,85
2024-03,Art Center,Uncategorised,Educational,Private School,85
2024-03,Art Center,Uncategorised,Individual,Arab,55
2024-03,Art Center,Uncategorised,Individual,Bahraini,165
2024-03,Art Center,Uncategorised,Individual,Foreign,50
2024-03,Bab Al Bahrain Information Center,Uncategorised,Individual,Arab,7
2024-03,Bab Al Bahrain Information Center,Uncategorised,Individual,Bahraini,11
2024-03,Bab Al Bahrain Information Center,Uncategorised,Individual,Foreign,29
2024-03,Bab Al Bahrain Information Center,Uncategorised,Individual,GCC,10
2024-03,Badr Gulum and Turabi House,Pearling Path Sites,Educational,Kinder Garden,25
2024-03,Badr Gulum and Turabi House,Pearling Path Sites,Groups,VIP,5
2024-03,Badr Gulum and Turabi House,Pearling Path Sites,Individual,Bahraini,22
2024-03,Badr Gulum and Turabi House,Pearling Path Sites,Individual,Foreign,187
2024-03,Badr Gulum and Turabi House,Pearling Path Sites,Individual,GCC,8
2024-03,Bahrain Fort Site,Archaeological Sites,Educational,College or University,140
2024-03,Bahrain Fort Site,Archaeological Sites,Educational,Government School,38
2024-03,Bahrain Fort Site,Archaeological Sites,Educational,Kinder Garden,18
2024-03,Bahrain Fort Site,Archaeological Sites,Educational,Private School,324
2024-03,Bahrain Fort Site,Archaeological Sites,Groups,Organized Group,552
2024-03,Bahrain Fort Site,Archaeological Sites,Groups,Tour Agencies,10560
2024-03,Bahrain Fort Site,Archaeological Sites,Groups,VIP,4
2024-03,Bahrain Fort Site,Archaeological Sites,Individual,Arab,1971
2024-03,Bahrain Fort Site,Archaeological Sites,Individual,Bahraini,6122
2024-03,Bahrain Fort Site,Archaeological Sites,Individual,Foreign,15258
2024-03,Bahrain Fort Site,Archaeological Sites,Individual,GCC,1888
2024-03,Bahrain Fort Site,Forts,Educational,College or University,140
2024-03,Bahrain Fort Site,Forts,Educational,Government School,38
2024-03,Bahrain Fort Site,Forts,Educational,Kinder Garden,18
2024-03,Bahrain Fort Site,Forts,Educational,Private School,324
2024-03,Bahrain Fort Site,Forts,Groups,Organized Group,552
2024-03,Bahrain Fort Site,Forts,Groups,Tour Agencies,10560
2024-03,Bahrain Fort Site,Forts,Groups,VIP,4
2024-03,Bahrain Fort Site,Forts,Individual,Arab,1971
2024-03,Bahrain Fort Site,Forts,Individual,Bahraini,6122
2024-03,Bahrain Fort Site,Forts,Individual,Foreign,15258
2024-03,Bahrain Fort Site,Forts,Individual,GCC,1888
2024-03,Bahrain National Museum,Museums,Educational,College or University,30
2024-03,Bahrain National Museum,Museums,Educational,Government School,143
2024-03,Bahrain National Museum,Museums,Educational,Private School,397
2024-03,Bahrain National Museum,Museums,Groups,VIP,4
2024-03,Bahrain National Museum,Museums,Individual,Arab,511
2024-03,Bahrain National Museum,Museums,Individual,Bahraini,889
2024-03,Bahrain National Museum,Museums,Individual,Foreign,6105
2024-03,Bahrain National Museum,Museums,Individual,GCC,700
2024-03,Bahrain National Theatre,Uncategorised,Individual,Bahraini,984
2024-03,Bani Jamra Textile Weaving,Handicraft Sites,Groups,VIP,3
2024-03,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Bahraini,45
2024-03,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Foreign,50
2024-03,Bani Jamra Textile Weaving,Handicraft Sites,Individual,GCC,13
2024-03,Barbar Temples,Archaeological Sites,Educational,Kinder Garden,4
2024-03,Barbar Temples,Archaeological Sites,Educational,Private School,1
2024-03,Barbar Temples,Archaeological Sites,Groups,Tour Agencies,5
2024-03,Barbar Temples,Archaeological Sites,Individual,Arab,4
2024-03,Barbar Temples,Archaeological Sites,Individual,Bahraini,7
2024-03,Barbar Temples,Archaeological Sites,Individual,Foreign,41
2024-03,Bu Maher,Archaeological Sites,Educational,Government School,13
2024-03,Bu Maher,Archaeological Sites,Groups,Tour Agencies,411
2024-03,Bu Maher,Archaeological Sites,Groups,VIP,37
2024-03,Bu Maher,Archaeological Sites,Individual,Arab,60
2024-03,Bu Maher,Archaeological Sites,Individual,Bahraini,153
2024-03,Bu Maher,Archaeological Sites,Individual,Foreign,1019
2024-03,Bu Maher,Archaeological Sites,Individual,GCC,62
2024-03,Bu Maher,Forts,Educational,Government School,13
2024-03,Bu Maher,Forts,Groups,Tour Agencies,411
2024-03,Bu Maher,Forts,Groups,VIP,37
2024-03,Bu Maher,Forts,Individual,Arab,60
2024-03,Bu Maher,Forts,Individual,Bahraini,153
2024-03,Bu Maher,Forts,Individual,Foreign,1019
2024-03,Bu Maher,Forts,Individual,GCC,62
2024-03,Bu Maher,Pearling Path Sites,Educational,Government School,13
2024-03,Bu Maher,Pearling Path Sites,Groups,Tour Agencies,411
2024-03,Bu Maher,Pearling Path Sites,Groups,VIP,37
2024-03,Bu Maher,Pearling Path Sites,Individual,Arab,60
2024-03,Bu Maher,Pearling Path Sites,Individual,Bahraini,153
2024-03,Bu Maher,Pearling Path Sites,Individual,Foreign,1019
2024-03,Bu Maher,Pearling Path Sites,Individual,GCC,62
2024-03,Cultural Hall,Uncategorised,Educational,Private School,165
2024-03,Cultural Hall,Uncategorised,Groups,Organized Group,485
2024-03,Cultural Hall,Uncategorised,Individual,Arab,584
2024-03,Cultural Hall,Uncategorised,Individual,Foreign,171
2024-03,Dar Al Muharraq,Pearling Path Sites,Individual,Foreign,11
2024-03,Dar Al Riffa Al Alsgheera,Uncategorised,Individual,Arab,6
2024-03,Dar Al Riffa Al Alsgheera,Uncategorised,Individual,Bahraini,5
2024-03,Dar Al Riffa Al Alsgheera,Uncategorised,Individual,Foreign,7
2024-03,Fakhro House,Pearling Path Sites,Educational,Government School,18
2024-03,Fakhro House,Pearling Path Sites,Groups,Tour Agencies,1
2024-03,Fakhro House,Pearling Path Sites,Groups,VIP,13
2024-03,Fakhro House,Pearling Path Sites,Individual,Arab,36
2024-03,Fakhro House,Pearling Path Sites,Individual,Bahraini,97
2024-03,Fakhro House,Pearling Path Sites,Individual,Foreign,275
2024-03,Fakhro House,Pearling Path Sites,Individual,GCC,35
2024-03,House of Baskets,Handicraft Sites,Groups,VIP,27
2024-03,House of Baskets,Handicraft Sites,Individual,Arab,3
2024-03,House of Baskets,Handicraft Sites,Individual,Bahraini,126
2024-03,House of Baskets,Handicraft Sites,Individual,Foreign,78
2024-03,House of Baskets,Handicraft Sites,Individual,GCC,14
2024-03,Pearling Path Visitor Center,Pearling Path Sites,Groups,Tour Agencies,166
2024-03,Pearling Path Visitor Center,Pearling Path Sites,Groups,VIP,10
2024-03,Pearling Path Visitor Center,Pearling Path Sites,Individual,Bahraini,257
2024-03,Pearling Path Visitor Center,Pearling Path Sites,Individual,Foreign,449
2024-03,Post Office Museum,Museums,Educational,Private School,31
2024-03,Post Office Museum,Museums,Groups,Tour Agencies,29
2024-03,Post Office Museum,Museums,Individual,Bahraini,2
2024-03,Post Office Museum,Museums,Individual,GCC,10
2024-03,Qalat Al Bahrain Site Museum,Museums,Educational,College or University,132
2024-03,Qalat Al Bahrain Site Museum,Museums,Educational,Government School,62
2024-03,Qalat Al Bahrain Site Museum,Museums,Educational,Private School,52
2024-03,Qalat Al Bahrain Site Museum,Museums,Individual,Arab,11
2024-03,Qalat Al Bahrain Site Museum,Museums,Individual,Bahraini,23
2024-03,Qalat Al Bahrain Site Museum,Museums,Individual,Foreign,328
2024-03,Qalat Al Bahrain Site Museum,Museums,Individual,GCC,14
2024-03,Saar Settlement,Archaeological Sites,Groups,Organized Group,45
2024-03,Saar Settlement,Archaeological Sites,Individual,Arab,3
2024-03,Saar Settlement,Archaeological Sites,Individual,Bahraini,61
2024-03,Saar Settlement,Archaeological Sites,Individual,Foreign,74
2024-03,Saar Settlement,Archaeological Sites,Individual,GCC,6
2024-03,Siyadi Majlis,Pearling Path Sites,Educational,Private School,6
2024-03,Siyadi Majlis,Pearling Path Sites,Groups,Organized Group,217
2024-03,Siyadi Majlis,Pearling Path Sites,Groups,Tour Agencies,418
2024-03,Siyadi Majlis,Pearling Path Sites,Individual,Arab,44
2024-03,Siyadi Majlis,Pearling Path Sites,Individual,Bahraini,178
2024-03,Siyadi Majlis,Pearling Path Sites,Individual,Foreign,890
2024-03,Siyadi Majlis,Pearling Path Sites,Individual,GCC,97
2024-03,Tree of Life Visitors Centre,Uncategorised,Individual,Arab,18
2024-03,Tree of Life Visitors Centre,Uncategorised,Individual,Bahraini,6514
2024-03,Tree of Life Visitors Centre,Uncategorised,Individual,Foreign,28799
2024-03,Tree of Life Visitors Centre,Uncategorised,Individual,GCC,38
2024-04,Aali burial mounds,Archaeological Sites,Individual,GCC,75
2024-04,Al Alawi House,Pearling Path Sites,Groups,VIP,8
2024-04,Al Alawi House,Pearling Path Sites,Individual,Arab,35
2024-04,Al Alawi House,Pearling Path Sites,Individual,Bahraini,45
2024-04,Al Alawi House,Pearling Path Sites,Individual,Foreign,90
2024-04,Al Alawi House,Pearling Path Sites,Individual,GCC,2
2024-04,Al Ghus House,Pearling Path Sites,Groups,VIP,11
2024-04,Al Ghus House,Pearling Path Sites,Individual,Arab,3
2024-04,Al Ghus House,Pearling Path Sites,Individual,Bahraini,66
2024-04,Al Ghus House,Pearling Path Sites,Individual,Foreign,147
2024-04,Al Ghus House,Pearling Path Sites,Individual,GCC,12
2024-04,Al Jalahma House,Pearling Path Sites,Educational,Kinder Garden,30
2024-04,Al Jalahma House,Pearling Path Sites,Groups,VIP,13
2024-04,Al Jalahma House,Pearling Path Sites,Individual,Arab,51
2024-04,Al Jalahma House,Pearling Path Sites,Individual,Bahraini,125
2024-04,Al Jalahma House,Pearling Path Sites,Individual,Foreign,147
2024-04,Al Jalahma House,Pearling Path Sites,Individual,GCC,14
2024-04,Al Jasra Handicrafts Centre,Handicraft Sites,Groups,VIP,14
2024-04,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Bahraini,73
2024-04,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Foreign,148
2024-04,Al Jasra House,Uncategorised,Educational,College or University,3
2024-04,Al Jasra House,Uncategorised,Groups,Tour Agencies,13
2024-04,Al Jasra House,Uncategorised,Individual,Arab,18
2024-04,Al Jasra House,Uncategorised,Individual,Bahraini,39
2024-04,Al Jasra House,Uncategorised,Individual,Foreign,125
2024-04,Al Jasra House,Uncategorised,Individual,GCC,9
2024-04,Al Khalefeyah Library,Uncategorised,Individual,Arab,90
2024-04,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,45
2024-04,Al Khalefeyah Library,Uncategorised,Individual,Foreign,145
2024-04,Al Khalefeyah Library,Uncategorised,Individual,GCC,4
2024-04,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,11
2024-04,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Foreign,47
2024-04,Arad Fort,Archaeological Sites,Individual,Arab,35
2024-04,Arad Fort,Archaeological Sites,Individual,Bahraini,49
2024-04,Arad Fort,Archaeological Sites,Individual,Foreign,287
2024-04,Arad Fort,Archaeological Sites,Individual,GCC,21
2024-04,Arad Fort,Forts,Individual,Arab,35
2024-04,Arad Fort,Forts,Individual,Bahraini,49
2024-04,Arad Fort,Forts,Individual,Foreign,287
2024-04,Arad Fort,Forts,Individual,GCC,21
2024-04,Archaeologies of Green Pavilion,Uncategorised,Groups,VIP,7
2024-04,Archaeologies of Green Pavilion,Uncategorised,Individual,Arab,148
2024-04,Archaeologies of Green Pavilion,Uncategorised,Individual,Bahraini,425
2024-04,Archaeologies of Green Pavilion,Uncategorised,Individual,Foreign,193
2024-04,Archaeologies of Green Pavilion,Uncategorised,Individual,GCC,172
2024-04,Art Center,Uncategorised,Groups,Organized Group,40
2024-04,Art Center,Uncategorised,Individual,Arab,2
2024-04,Art Center,Uncategorised,Individual,Bahraini,386
2024-04,Art Center,Uncategorised,Individual,Foreign,8
2024-04,Art Center,Uncategorised,Individual,GCC,6
2024-04,Bab Al Bahrain Information Center,Uncategorised,Individual,Arab,13
2024-04,Bab Al Bahrain Information Center,Uncategorised,Individual,Bahraini,7
2024-04,Bab Al Bahrain Information Center,Uncategorised,Individual,Foreign,23
2024-04,Bab Al Bahrain Information Center,Uncategorised,Individual,GCC,12
2024-04,Badr Gulum and Turabi House,Pearling Path Sites,Educational,Kinder Garden,41
2024-04,Badr Gulum and Turabi House,Pearling Path Sites,Groups,VIP,13
2024-04,Badr Gulum and Turabi House,Pearling Path Sites,Individual,Arab,29
2024-04,Badr Gulum and Turabi House,Pearling Path Sites,Individual,Bahraini,85
2024-04,Badr Gulum and Turabi House,Pearling Path Sites,Individual,Foreign,169
2024-04,Badr Gulum and Turabi House,Pearling Path Sites,Individual,GCC,9
2024-04,Bahrain Fort Site,Archaeological Sites,Educational,College or University,40
2024-04,Bahrain Fort Site,Archaeological Sites,Educational,Government School,30
2024-04,Bahrain Fort Site,Archaeological Sites,Groups,Organized Group,50
2024-04,Bahrain Fort Site,Archaeological Sites,Groups,Tour Agencies,1123
2024-04,Bahrain Fort Site,Archaeological Sites,Individual,Arab,1893
2024-04,Bahrain Fort Site,Archaeological Sites,Individual,Bahraini,5456
2024-04,Bahrain Fort Site,Archaeological Sites,Individual,Foreign,10180
2024-04,Bahrain Fort Site,Archaeological Sites,Individual,GCC,1722
2024-04,Bahrain Fort Site,Forts,Educational,College or University,40
2024-04,Bahrain Fort Site,Forts,Educational,Government School,30
2024-04,Bahrain Fort Site,Forts,Groups,Organized Group,50
2024-04,Bahrain Fort Site,Forts,Groups,Tour Agencies,1123
2024-04,Bahrain Fort Site,Forts,Individual,Arab,1893
2024-04,Bahrain Fort Site,Forts,Individual,Bahraini,5456
2024-04,Bahrain Fort Site,Forts,Individual,Foreign,10180
2024-04,Bahrain Fort Site,Forts,Individual,GCC,1722
2024-04,Bahrain National Museum,Museums,Educational,Government School,308
2024-04,Bahrain National Museum,Museums,Educational,Private School,290
2024-04,Bahrain National Museum,Museums,Groups,Organized Group,6
2024-04,Bahrain National Museum,Museums,Groups,VIP,17
2024-04,Bahrain National Museum,Museums,Individual,Arab,269
2024-04,Bahrain National Museum,Museums,Individual,Bahraini,747
2024-04,Bahrain National Museum,Museums,Individual,Foreign,6475
2024-04,Bahrain National Museum,Museums,Individual,GCC,932
2024-04,Bani Jamra Textile Weaving,Handicraft Sites,Groups,Tour Agencies,14
2024-04,Bani Jamra Textile Weaving,Handicraft Sites,Groups,VIP,24
2024-04,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Arab,6
2024-04,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Bahraini,48
2024-04,Bani Jamra Textile Weaving,Handicraft Sites,Individual,Foreign,44
2024-04,Bani Jamra Textile Weaving,Handicraft Sites,Individual,GCC,3
2024-04,Barbar Temples,Archaeological Sites,Groups,Tour Agencies,48
2024-04,Barbar Temples,Archaeological Sites,Individual,Arab,4
2024-04,Barbar Temples,Archaeological Sites,Individual,Bahraini,26
2024-04,Barbar Temples,Archaeological Sites,Individual,Foreign,185
2024-04,Bu Maher,Archaeological Sites,Educational,Private School,17
2024-04,Bu Maher,Archaeological Sites,Groups,Organized Group,45
2024-04,Bu Maher,Archaeological Sites,Groups,Tour Agencies,43
2024-04,Bu Maher,Archaeological Sites,Groups,VIP,42
2024-04,Bu Maher,Archaeological Sites,Individual,Arab,73
2024-04,Bu Maher,Archaeological Sites,Individual,Bahraini,148
2024-04,Bu Maher,Archaeological Sites,Individual,Foreign,1394
2024-04,Bu Maher,Archaeological Sites,Individual,GCC,101
2024-04,Bu Maher,Forts,Educational,Private School,17
2024-04,Bu Maher,Forts,Groups,Organized Group,45
2024-04,Bu Maher,Forts,Groups,Tour Agencies,43
2024-04,Bu Maher,Forts,Groups,VIP,42
2024-04,Bu Maher,Forts,Individual,Arab,73
2024-04,Bu Maher,Forts,Individual,Bahraini,148
2024-04,Bu Maher,Forts,Individual,Foreign,1394
2024-04,Bu Maher,Forts,Individual,GCC,101
2024-04,Bu Maher,Pearling Path Sites,Educational,Private School,17
2024-04,Bu Maher,Pearling Path Sites,Groups,Organized Group,45
2024-04,Bu Maher,Pearling Path Sites,Groups,Tour Agencies,43
2024-04,Bu Maher,Pearling Path Sites,Groups,VIP,42
2024-04,Bu Maher,Pearling Path Sites,Individual,Arab,73
2024-04,Bu Maher,Pearling Path Sites,Individual,Bahraini,148
2024-04,Bu Maher,Pearling Path Sites,Individual,Foreign,1394
2024-04,Bu Maher,Pearling Path Sites,Individual,GCC,101
2024-04,Cultural Hall,Uncategorised,Groups,Organized Group,680
2024-04,Cultural Hall,Uncategorised,Groups,Tour Agencies,708
2024-04,Cultural Hall,Uncategorised,Groups,VIP,7
2024-04,Cultural Hall,Uncategorised,Individual,Arab,17
2024-04,Cultural Hall,Uncategorised,Individual,Bahraini,18320
2024-04,Cultural Hall,Uncategorised,Individual,Foreign,93
2024-04,Cultural Hall,Uncategorised,Individual,GCC,96
2024-04,Dar Al Muharraq,Pearling Path Sites,Individual,Foreign,8
2024-04,Dar Al Riffa Al Alsgheera,Uncategorised,Individual,Arab,8
2024-04,Dar Al Riffa Al Alsgheera,Uncategorised,Individual,Bahraini,12
2024-04,Fakhro House,Pearling Path Sites,Groups,Organized Group,1
2024-04,Fakhro House,Pearling Path Sites,Groups,Tour Agencies,3
2024-04,Fakhro House,Pearling Path Sites,Groups,VIP,10
2024-04,Fakhro House,Pearling Path Sites,Individual,Arab,37
2024-04,Fakhro House,Pearling Path Sites,Individual,Bahraini,39
2024-04,Fakhro House,Pearling Path Sites,Individual,Foreign,149
2024-04,Fakhro House,Pearling Path Sites,Individual,GCC,4
2024-04,House of Baskets,Handicraft Sites,Groups,Tour Agencies,26
2024-04,House of Baskets,Handicraft Sites,Groups,VIP,27
2024-04,House of Baskets,Handicraft Sites,Individual,Arab,6
2024-04,House of Baskets,Handicraft Sites,Individual,Bahraini,133
2024-04,House of Baskets,Handicraft Sites,Individual,Foreign,27
2024-04,House of Baskets,Handicraft Sites,Individual,GCC,42
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Educational,Private School,55
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Groups,Organized Group,11
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Groups,Tour Agencies,258
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Groups,VIP,36
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Individual,Arab,6
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Individual,Bahraini,241
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Individual,Foreign,410
2024-04,Pearling Path Visitor Center,Pearling Path Sites,Individual,GCC,202
2024-04,Post Office Museum,Museums,Educational,Private School,20
2024-04,Post Office Museum,Museums,Individual,Arab,22
2024-04,Post Office Museum,Museums,Individual,Bahraini,169
2024-04,Post Office Museum,Museums,Individual,Foreign,300
2024-04,Post Office Museum,Museums,Individual,GCC,213
2024-04,Qalat Al Bahrain Site Museum,Museums,Educational,College or University,20
2024-04,Qalat Al Bahrain Site Museum,Museums,Educational,Government School,38
2024-04,Qalat Al Bahrain Site Museum,Museums,Educational,Private School,20
2024-04,Qalat Al Bahrain Site Museum,Museums,Groups,VIP,34
2024-04,Qalat Al Bahrain Site Museum,Museums,Individual,Arab,18
2024-04,Qalat Al Bahrain Site Museum,Museums,Individual,Bahraini,102
2024-04,Qalat Al Bahrain Site Museum,Museums,Individual,Foreign,407
2024-04,Qalat Al Bahrain Site Museum,Museums,Individual,GCC,28
2024-04,Saar Settlement,Archaeological Sites,Groups,Tour Agencies,12
2024-04,Saar Settlement,Archaeological Sites,Individual,Arab,9
2024-04,Saar Settlement,Archaeological Sites,Individual,Bahraini,14
2024-04,Saar Settlement,Archaeological Sites,Individual,Foreign,63
2024-04,Saar Settlement,Archaeological Sites,Individual,GCC,3
2024-04,Siyadi Majlis,Pearling Path Sites,Individual,Arab,27
2024-04,Siyadi Majlis,Pearling Path Sites,Individual,Bahraini,111
2024-04,Siyadi Majlis,Pearling Path Sites,Individual,Foreign,412
2024-04,Siyadi Majlis,Pearling Path Sites,Individual,GCC,69
2024-04,Tree of Life Visitors Centre,Uncategorised,Individual,Bahraini,2694
2024-04,Tree of Life Visitors Centre,Uncategorised,Individual,Foreign,63622
2024-04,Tree of Life Visitors Centre,Uncategorised,Individual,GCC,242
2024-05,Aali burial mounds,Archaeological Sites,Individual,GCC,30
2024-05,Al Alawi House,Pearling Path Sites,Groups,Organized Group,26
2024-05,Al Alawi House,Pearling Path Sites,Groups,VIP,4
2024-05,Al Alawi House,Pearling Path Sites,Individual,Arab,4
2024-05,Al Alawi House,Pearling Path Sites,Individual,Bahraini,36
2024-05,Al Alawi House,Pearling Path Sites,Individual,Foreign,58
2024-05,Al Ghus House,Pearling Path Sites,Groups,Organized Group,5
2024-05,Al Ghus House,Pearling Path Sites,Groups,Tour Agencies,6
2024-05,Al Ghus House,Pearling Path Sites,Groups,VIP,4
2024-05,Al Ghus House,Pearling Path Sites,Individual,Arab,14
2024-05,Al Ghus House,Pearling Path Sites,Individual,Bahraini,28
2024-05,Al Ghus House,Pearling Path Sites,Individual,Foreign,97
2024-05,Al Ghus House,Pearling Path Sites,Individual,GCC,13
2024-05,Al Jalahma House,Pearling Path Sites,Educational,Kinder Garden,11
2024-05,Al Jalahma House,Pearling Path Sites,Groups,Organized Group,37
2024-05,Al Jalahma House,Pearling Path Sites,Groups,VIP,7
2024-05,Al Jalahma House,Pearling Path Sites,Individual,Arab,5
2024-05,Al Jalahma House,Pearling Path Sites,Individual,Bahraini,41
2024-05,Al Jalahma House,Pearling Path Sites,Individual,Foreign,125
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Educational,Private School,84
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Groups,Organized Group,67
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Groups,VIP,21
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Arab,15
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Bahraini,69
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,Foreign,108
2024-05,Al Jasra Handicrafts Centre,Handicraft Sites,Individual,GCC,12
2024-05,Al Jasra House,Uncategorised,Individual,Bahraini,44
2024-05,Al Jasra House,Uncategorised,Individual,Foreign,81
2024-05,Al Khalefeyah Library,Uncategorised,Educational,Government School,4
2024-05,Al Khalefeyah Library,Uncategorised,Individual,Arab,277
2024-05,Al Khalefeyah Library,Uncategorised,Individual,Bahraini,76
2024-05,Al Khalefeyah Library,Uncategorised,Individual,Foreign,284
2024-05,Al Khalefeyah Library,Uncategorised,Individual,GCC,2
2024-05,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Arab,3
2024-05,Al Khamis Mosque & Visitor Centre,Archaeological Sites,Individual,Bahraini,15
